,NO2
2016-03-03 12:00:00,73.31378000000002
2016-03-03 13:00:00,65.91144
2016-03-03 14:00:00,53.78619000000001
2016-03-03 15:00:00,52.22177
2016-03-03 16:00:00,63.48544
2016-03-03 17:00:00,83.30707
2016-03-03 18:00:00,77.26404000000002
2016-03-03 19:00:00,72.75963
2016-03-03 20:00:00,53.13164
2016-03-03 21:00:00,49.28991
2016-03-03 22:00:00,48.79600000000001
2016-03-03 23:00:00,44.66357
2016-03-04 00:00:00,18.47475
2016-03-04 01:00:00,15.22605
2016-03-04 02:00:00,15.79725
2016-03-04 03:00:00,15.61174
2016-03-04 04:00:00,17.19146
2016-03-04 05:00:00,34.944720000000004
2016-03-04 06:00:00,55.24734
2016-03-04 07:00:00,85.12872
2016-03-04 08:00:00,87.94391999999998
2016-03-04 09:00:00,97.09189
2016-03-04 10:00:00,93.46005
2016-03-04 11:00:00,97.95634
2016-03-04 12:00:00,99.0106
2016-03-04 13:00:00,104.91019
2016-03-04 14:00:00,107.15881
2016-03-04 15:00:00,60.80555
2016-03-04 16:00:00,57.96931
2016-03-04 17:00:00,62.31499
2016-03-04 18:00:00,59.74315
2016-03-04 19:00:00,54.15196
2016-03-04 20:00:00,51.8627
2016-03-04 21:00:00,39.88519
2016-03-04 22:00:00,33.64566
2016-03-04 23:00:00,38.12186
2016-03-05 00:00:00,34.586929999999995
2016-03-05 01:00:00,36.31391
2016-03-05 02:00:00,25.66193
2016-03-05 03:00:00,31.47353
2016-03-05 04:00:00,24.75492
2016-03-05 05:00:00,27.55482
2016-03-05 06:00:00,42.4226
2016-03-05 07:00:00,41.93778
2016-03-05 08:00:00,40.50149
2016-03-05 09:00:00,45.07571
2016-03-05 10:00:00,39.19717
2016-03-05 11:00:00,39.07429000000001
2016-03-05 12:00:00,33.02888
2016-03-05 13:00:00,36.39631
2016-03-05 14:00:00,39.90192
2016-03-05 15:00:00,43.76613
2016-03-05 16:00:00,59.22008
2016-03-05 17:00:00,61.66761
2016-03-05 18:00:00,73.17034
2016-03-05 19:00:00,65.27649
2016-03-05 20:00:00,61.97361
2016-03-05 21:00:00,45.32243
2016-03-05 22:00:00,43.36163
2016-03-05 23:00:00,61.03553
2016-03-06 00:00:00,47.26808
2016-03-06 01:00:00,65.73899999999999
2016-03-06 02:00:00,55.55765
2016-03-06 03:00:00,63.71685
2016-03-06 04:00:00,73.14643000000002
2016-03-06 05:00:00,66.4632
2016-03-06 06:00:00,57.98843000000001
2016-03-06 07:00:00,49.55718
2016-03-06 08:00:00,50.33891
2016-03-06 09:00:00,50.14193
2016-03-06 10:00:00,40.85626
2016-03-06 11:00:00,26.32891
2016-03-06 12:00:00,23.49506
2016-03-06 13:00:00,18.25338
2016-03-06 14:00:00,20.45371
2016-03-06 15:00:00,20.17783
2016-03-06 16:00:00,24.85533
2016-03-06 17:00:00,27.86178
2016-03-06 18:00:00,26.30787
2016-03-06 19:00:00,40.60477
2016-03-06 20:00:00,55.04892
2016-03-06 21:00:00,57.50266
2016-03-06 22:00:00,62.38049
2016-03-06 23:00:00,40.96145
2016-03-07 00:00:00,31.643590000000003
2016-03-07 01:00:00,28.43633
2016-03-07 02:00:00,21.47594
