,NO2,temp,ws,wd,Volume,Lockdown,hour,day_of_week,month,day,Mon,Tue,Wed,Thu,Fri,Sat,Sun,Jan,Feb,Mar,Apr,May,June,July,Aug,Sep,Oct,Nov,Dec,wd_1,wd_2,wd_3,wd_4
2016-07-21 00:00:00,23.830389999999998,12.2,2.5,219.3,47,0,0,3,7,21,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0
2016-07-21 01:00:00,16.47491,12.3,2.4,220.0,26,0,1,3,7,21,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0
2016-07-21 02:00:00,17.09345,12.1,2.9,225.5,44,0,2,3,7,21,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0
2016-07-21 03:00:00,17.29187,11.5,2.7,223.2,34,0,3,3,7,21,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0
2016-07-21 04:00:00,18.67174,11.2,2.3,209.1,50,0,4,3,7,21,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0
2016-07-21 05:00:00,16.538339999999998,11.2,2.2,205.8,84,0,5,3,7,21,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0
2016-07-21 06:00:00,21.777639999999998,11.0,2.5,196.0,232,0,6,3,7,21,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0
2016-07-21 07:00:00,21.68297,11.4,2.8,193.1,537,0,7,3,7,21,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0
2016-07-21 08:00:00,15.6409,11.9,2.7,204.3,686,0,8,3,7,21,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0
2016-07-21 09:00:00,15.136479999999999,13.2,2.2,194.1,493,0,9,3,7,21,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0
